program,level,university_id,university,city,province,degree_label,annual_fee_cad,fee_notes,duration_years,intake_terms,application_deadline,url,accredited,fees_last_verified,source,is_verified
Architecture,Undergraduate,u_alberta,University of Alberta,Edmonton,Alberta,Bachelor,56600,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofalberta.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_calgary,University of Calgary,Calgary,Alberta,Bachelor,53800,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofcalgary.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_guelf,University of Guelph,Guelph,Ontario,Bachelor,32100,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofguelph.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_manitoba,University of Manitoba,Winnipeg,Manitoba,Bachelor,44600,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofmanitoba.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_new_brunswick,University of New Brunswick,Fredericton / Saint John,New Brunswick,Bachelor,29900,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofnewbrunswick.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_oft,University of Ottawa,Ottawa,Ontario,Bachelor,32150,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofottawa.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_regina,University of Regina,Regina,Saskatchewan,Bachelor,40150,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofregina.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_saskatchewan,University of Saskatchewan,Saskatoon,Saskatchewan,Bachelor,31250,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofsaskatchewan.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_sherbrooke,Université de Sherbrooke,Sherbrooke,Quebec,Bachelor,32250,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universitédesherbrooke.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_toronto,University of Toronto,Toronto,Ontario,Bachelor,60100,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityoftoronto.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_victoria,University of Victoria,Victoria,British Columbia,Bachelor,55200,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofvictoria.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_waterloo,University of Waterloo,Waterloo,Ontario,Bachelor,65350,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofwaterloo.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,u_windsor,University of Windsor,Windsor,Ontario,Bachelor,25950,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofwindsor.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,western_university,Western University,London,Ontario,Bachelor,40950,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.westernuniversity.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,wilfrid_laurier_university,Wilfrid Laurier University,Waterloo,Ontario,Bachelor,51150,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.wilfridlaurieruniversity.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,york_university,York University,Toronto,Ontario,Bachelor,37300,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.yorkuniversity.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,mcgill_university,McGill University,Montreal,Quebec,Bachelor,63400,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.mcgilluniversity.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,ubc,University of British Columbia,Vancouver,British Columbia,Bachelor,65250,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.universityofbritishcolumbia.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,simon_fraser_university,Simon Fraser University,Burnaby,British Columbia,Bachelor,37350,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.simonfraseruniversity.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,thompson_rivers_university,Thompson Rivers University,Kamloops,British Columbia,Bachelor,39300,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.thompsonriversuniversity.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,dalhousie_university,Dalhousie University,Halifax,Nova Scotia,Bachelor,39450,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.dalhousieuniversity.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,memorial_university,Memorial University of Newfoundland,St. John's,Newfoundland and Labrador,Bachelor,24500,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.memorialuniversityofnewfoundland.edu/programs/architecture,,estimated:2025-08-08,estimate,
Architecture,Undergraduate,mount_royal_university,Mount Royal University,Calgary,Alberta,Bachelor,24700,Estimated value for standard full-time international tuition; verify on official university page before acting.,4.0,"['Fall', 'Winter']",,https://www.mountroyaluniversity.edu/programs/architecture,,estimated:2025-08-08,estimate,
